           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_63.in        12               2        143                70  2220.59               0          42                33      394391318       308404655      377164270        5577475461     0.00 
  katomic_64.in        16               2        195                98  3600.49               0          54                50      278518755       261240486      277614706        6286186813     0.00 
  katomic_65.in        17               1         81                25   903.69              32          32                26      197875996       165915971      193940855                 0     0.00 
  katomic_66.in        11               1        169                78  2331.88               0          32                26      371143271       308404659      360912282                 0     0.00 
  katomic_67.in        12               2        121                54  2440.00               0          31                24      372156943       308404655      362389729        5614978225     0.00 
  marbles_01.in         4               2         64                21     3.46              11          11                 6           1123             717            943              4528     0.00 
  marbles_02.in         5               5         90                38     3.54              15          15                 9          29995           22016          27946            200834     0.00 
  marbles_03.in         4               5         99                39     3.38              22          22                10          68710           35281          47984            185053     0.00 
  marbles_04.in         3              18        100                49     3.96              22          22                 5           4021            1935           2588              8407     0.00 
  marbles_05.in         5               2         81                34     3.75              25          25                14          73297           42382          57906            285656     0.00 
  marbles_06.in         5               3        120                41     6.35              14          14                12           1473            1244           1424             10289     0.00 
  marbles_08.in         6               3        100                48    15.50              23          23                12        4063204         2594262        3375704          20297824     0.00 
  marbles_10.in        16               1         48                20     3.32              24          24                16          24814           19432          23652                 0     0.00 
  marbles_11.in         8               1        169                59   129.98              28          28                19       31384241        21582591       28876806                 0     0.00 
  marbles_12.in         6               3         84                40    59.90              28          28                13       21438315        11311005       16998347         104230997     0.00 
  marbles_13.in         3               3         64                27     6.56              18          18                 6           6603            3305           3778             11294     0.00 
  marbles_14.in         6               1        110                27     4.03              22          22                16          41516           25546          33251                 0     0.00 
  marbles_15.in        12               1        169                62  3600.49               0          37                31      144057756       119742232      139901358                 0     0.00 
  marbles_20.in        32               1         64                36  3600.50               0          37                28       75796566        58087657       71724956                 0     0.00 
 unitopia_01.in         3              41        128                68     3.87              11          11                 8            238             174            193               888     0.00 
 unitopia_02.in         4               5        128                62     3.45              22          22                14          93872           57592          76380            366412     0.00 
 unitopia_03.in         5              12        128                56     6.39              16          16                12           5451            3962           5094             35122     0.00 
 unitopia_04.in         6               5        128                59     3.48              20          20                18          13212           11292          12846            115608     0.00 
 unitopia_05.in         6               7        128                68     7.24              20          20                13         309479          226122         290203           2692795     0.00 
 unitopia_06.in         9               2        128                61   279.77              31          31                24       62824529        51684176       61090077         864243995     0.00 
 unitopia_07.in        10               1        128                60  1634.91               0          35                27      390654133       308404663      375337651                 0     0.00 
 unitopia_08.in         7               4        128                59    10.02              23          23                17        1308119         1015269        1243949          13000326     0.00 
 unitopia_09.in        12               2        128                60  2327.24               0          44                39      354714874       308404655      347150151        5204328597     0.00 
 unitopia_10.in         8               2        128                57  1682.02               0          40                28      517026729       349525299      466059913        4128917127     0.00 
