           Name  NumAtoms  NumFinalStates  BoardSize  NumFreePositions     Time  SolutionLength  LowerBound  InitialHeuristic  NodesExpanded  NodesGenerated  NodesReOpened  CallsToHeuristic  PDBTime 
  katomic_60.in         7               4        121                54    15.47              19          19                15          57135          121155              0            502628     0.48 
  katomic_61.in        10               2        117                58  3045.28               0          55                48      258357144       506010514          43159        2448033742  1252.83 
  katomic_62.in        12               1        225                96  1061.48               0          52                46      115630822       350419558           1475        1763571534   259.20 
  katomic_63.in        12               2        143                70  2926.32               0          42                33      181967049       419157693           1592        2137411226  1270.17 
  katomic_64.in        16               2        195                98  2852.19               0          54                50       87161893       320392959              0        1510828027  1351.60 
  katomic_65.in        17               1         81                25  1107.26               0          32                26      135593521       327594602              0        1608124196   306.91 
  katomic_66.in        11               1        169                78  2028.20               0          33                26      222861781       498899650           4186        3462955741   500.02 
  katomic_67.in        12               2        121                54  3600.28               0          32                25      189236399       217954828           4007        2484944875  1523.02 
  marbles_01.in         4               2         64                21    12.75              11          11                 7            996            1282              0              3609     0.00 
  marbles_02.in         5               5         90                38     6.39              15          15                10          17210           32414             10            103712     0.10 
  marbles_03.in         4               5         99                39    12.47              22          22                10         124110          132959            360            258767     0.25 
  marbles_04.in         3              18        100                49    19.74              22          22                 5          11980           12372              0             19034     0.09 
  marbles_05.in         5               2         81                34    12.29              25          25                15          95231          116388              0            293446     0.11 
  marbles_06.in         5               3        120                41    11.89              14          14                12            934            1523              0              5741     0.00 
  marbles_08.in         6               3        100                48    40.24              23          23                12        4559650         6415120              2          17883005    11.55 
  marbles_10.in        16               1         48                20    11.43              24          24                16          27894           45141             13            158268     0.04 
  marbles_11.in         8               1        169                59   248.61              28          28                19       43933082        71336337           1894         286369891    34.12 
  marbles_12.in         6               3         84                40   215.91              28          28                13       31231752        36816262            209         107406491    70.41 
  marbles_13.in         3               3         64                27    14.24              18          18                 6          17496           17699              0             25101     0.01 
  marbles_14.in         6               1        110                27    13.77              22          22                16          38656           45166              0            118250     0.01 
  marbles_15.in        12               1        169                62  3600.48               0          37                31      135633614       166172989             97        1875795159   280.09 
  marbles_20.in        32               1         64                36  3600.32               0          38                28       79448675       130913447          40923         522511831   196.80 
 unitopia_01.in         3              41        128                68    23.29              11          11                 9            174             264              0               632     0.01 
 unitopia_02.in         4               5        128                62    17.81              22          22                14         107527          140358              0            347890     0.34 
 unitopia_03.in         5              12        128                56     6.85              16          16                14           1131            1899              0              8040     0.02 
 unitopia_04.in         6               5        128                59     8.14              20          20                19           4470            8797              0             39467     0.04 
 unitopia_05.in         6               7        128                68    24.05              20          20                13         388284          708913              0           2805399     4.71 
 unitopia_06.in         9               2        128                61   601.65              31          31                24       45900348       117289453           1405         499955523   247.31 
 unitopia_07.in        10               1        128                60  2264.77               0          36                27      370974358       635736259         152705        3825081903   482.18 
 unitopia_08.in         7               4        128                59    29.24              23          23                17        1264735         2685696              0          10267560     9.94 
 unitopia_09.in        12               2        128                60  2697.84               0          44                39      156673549       400892481          75987        1863069977  1111.56 
 unitopia_10.in         8               2        128                57  2447.19              41          41                29      309411123       484212201              0        1841878694   905.96 
